energy;conductance
-0.1;1.0
-0.0998;1.0
-0.0996;1.0
-0.0994;1.0
-0.0992;1.0
-0.099;1.0
-0.0988;1.0
-0.0986;1.0
-0.0984;1.0
-0.0982;1.0
-0.098;1.0
-0.0978;1.0
-0.0976;1.0
-0.0974;1.0
-0.0972;1.0
-0.097;1.0
-0.0968;1.0
-0.0966;1.0
-0.0964;1.0
-0.0962;1.0
-0.096;1.0
-0.0958;1.0
-0.0956;1.0
-0.0954;1.0
-0.0952;1.0
-0.095;1.0
-0.0948;1.0
-0.0946;1.0
-0.0944;1.0
-0.0942;1.0
-0.094;1.0
-0.0938;1.0
-0.0936;1.0
-0.0934;1.0
-0.0932;1.0
-0.093;1.0
-0.0928;1.0
-0.0926;1.0
-0.0924;1.0
-0.0922;1.0
-0.092;1.0
-0.0918;1.0
-0.0916;1.0
-0.0914;0.999
-0.0912;0.999
-0.091;0.999
-0.0908;0.999
-0.0906;0.999
-0.0904;0.999
-0.0902;0.999
-0.09;0.999
-0.0898;0.999
-0.0896;0.999
-0.0894;0.999
-0.0892;0.999
-0.089;0.999
-0.0888;0.999
-0.0886;0.999
-0.0884;0.999
-0.0882;0.998
-0.088;0.998
-0.0878;0.998
-0.0876;0.998
-0.0874;0.998
-0.0872;0.998
-0.087;0.998
-0.0868;0.998
-0.0866;0.997
-0.0864;0.997
-0.0862;0.997
-0.086;0.997
-0.0858;0.997
-0.0856;0.997
-0.0854;0.996
-0.0852;0.996
-0.085;0.996
-0.0848;0.996
-0.0846;0.995
-0.0844;0.995
-0.0842;0.995
-0.084;0.994
-0.0838;0.994
-0.0836;0.994
-0.0834;0.993
-0.0832;0.993
-0.083;0.992
-0.0828;0.992
-0.0826;0.991
-0.0824;0.991
-0.0822;0.99
-0.082;0.99
-0.0818;0.989
-0.0816;0.988
-0.0814;0.988
-0.0812;0.987
-0.081;0.986
-0.0808;0.985
-0.0806;0.984
-0.0804;0.983
-0.0802;0.982
-0.08;0.98
-0.0798;0.979
-0.0796;0.977
-0.0794;0.976
-0.0792;0.974
-0.079;0.972
-0.0788;0.97
-0.0786;0.967
-0.0784;0.965
-0.0782;0.962
-0.078;0.959
-0.0778;0.955
-0.0776;0.952
-0.0774;0.947
-0.0772;0.943
-0.077;0.937
-0.0768;0.932
-0.0766;0.925
-0.0764;0.918
-0.0762;0.909
-0.076;0.9
-0.0758;0.89
-0.0756;0.877
-0.0754;0.864
-0.0752;0.848
-0.075;0.83
-0.0748;0.809
-0.0746;0.784
-0.0744;0.756
-0.0742;0.723
-0.074;0.685
-0.0738;0.641
-0.0736;0.59
-0.0734;0.531
-0.0732;0.465
-0.073;0.391
-0.0728;0.312
-0.0726;0.23
-0.0724;0.151
-0.0722;0.082
-0.072;0.031
-0.0718;0.003
-0.0716;0.003
-0.0714;0.03
-0.0712;0.077
-0.071;0.138
-0.0708;0.207
-0.0706;0.278
-0.0704;0.347
-0.0702;0.411
-0.07;0.469
-0.0698;0.521
-0.0696;0.567
-0.0694;0.608
-0.0692;0.644
-0.069;0.675
-0.0688;0.703
-0.0686;0.727
-0.0684;0.749
-0.0682;0.768
-0.068;0.785
-0.0678;0.8
-0.0676;0.814
-0.0674;0.826
-0.0672;0.837
-0.067;0.847
-0.0668;0.856
-0.0666;0.864
-0.0664;0.871
-0.0662;0.878
-0.066;0.884
-0.0658;0.89
-0.0656;0.895
-0.0654;0.9
-0.0652;0.904
-0.065;0.909
-0.0648;0.912
-0.0646;0.916
-0.0644;0.919
-0.0642;0.922
-0.064;0.925
-0.0638;0.928
-0.0636;0.93
-0.0634;0.933
-0.0632;0.935
-0.063;0.937
-0.0628;0.939
-0.0626;0.941
-0.0624;0.943
-0.0622;0.945
-0.062;0.946
-0.0618;0.948
-0.0616;0.949
-0.0614;0.95
-0.0612;0.952
-0.061;0.953
-0.0608;0.954
-0.0606;0.955
-0.0604;0.956
-0.0602;0.957
-0.06;0.958
-0.0598;0.959
-0.0596;0.96
-0.0594;0.961
-0.0592;0.962
-0.059;0.963
-0.0588;0.963
-0.0586;0.964
-0.0584;0.965
-0.0582;0.965
-0.058;0.966
-0.0578;0.967
-0.0576;0.967
-0.0574;0.968
-0.0572;0.968
-0.057;0.969
-0.0568;0.969
-0.0566;0.97
-0.0564;0.97
-0.0562;0.971
-0.056;0.971
-0.0558;0.972
-0.0556;0.972
-0.0554;0.973
-0.0552;0.973
-0.055;0.973
-0.0548;0.974
-0.0546;0.974
-0.0544;0.975
-0.0542;0.975
-0.054;0.975
-0.0538;0.976
-0.0536;0.976
-0.0534;0.976
-0.0532;0.976
-0.053;0.977
-0.0528;0.977
-0.0526;0.977
-0.0524;0.978
-0.0522;0.978
-0.052;0.978
-0.0518;0.978
-0.0516;0.979
-0.0514;0.979
-0.0512;0.979
-0.051;0.979
-0.0508;0.979
-0.0506;0.98
-0.0504;0.98
-0.0502;0.98
-0.05;0.98
-0.0498;0.98
-0.0496;0.981
-0.0494;0.981
-0.0492;0.981
-0.049;0.981
-0.0488;0.981
-0.0486;0.982
-0.0484;0.982
