energy;conductance_lead;conductance_junction
-0.0704;1.0;0.731
-0.0702;1.0;0.733
-0.07;1.0;0.736
-0.0698;1.0;0.738
-0.0696;1.0;0.741
-0.0694;1.0;0.743
-0.0692;1.0;0.746
-0.069;1.0;0.748
-0.0688;1.0;0.751
-0.0686;1.0;0.754
-0.0684;1.0;0.756
-0.0682;1.0;0.759
-0.068;1.0;0.762
-0.0678;1.0;0.764
-0.0676;1.0;0.767
-0.0674;1.0;0.77
-0.0672;1.0;0.773
-0.067;1.0;0.776
-0.0668;1.0;0.779
-0.0666;1.0;0.782
-0.0664;1.0;0.785
-0.0662;1.0;0.788
-0.066;1.0;0.791
-0.0658;1.0;0.794
-0.0656;1.0;0.798
-0.0654;1.0;0.801
-0.0652;1.0;0.804
-0.065;1.0;0.807
-0.0648;1.0;0.811
-0.0646;1.0;0.814
-0.0644;1.0;0.818
-0.0642;1.0;0.821
-0.064;1.0;0.825
-0.0638;1.0;0.828
-0.0636;1.0;0.832
-0.0634;1.0;0.835
-0.0632;1.0;0.839
-0.063;1.0;0.843
-0.0628;1.0;0.846
-0.0626;1.0;0.85
-0.0624;1.0;0.854
-0.0622;1.0;0.858
-0.062;1.0;0.862
-0.0618;1.0;0.866
-0.0616;1.0;0.87
-0.0614;1.0;0.874
-0.0612;1.0;0.878
-0.061;1.0;0.882
-0.0608;1.0;0.886
-0.0606;1.0;0.89
-0.0604;1.0;0.894
-0.0602;1.0;0.898
-0.06;1.0;0.902
-0.0598;1.0;0.907
-0.0596;1.0;0.911
-0.0594;1.0;0.915
-0.0592;1.0;0.919
-0.059;1.0;0.923
-0.0588;1.0;0.927
-0.0586;1.0;0.932
-0.0584;1.0;0.936
-0.0582;1.0;0.94
-0.058;1.0;0.944
-0.0578;1.0;0.948
-0.0576;1.0;0.952
-0.0574;1.0;0.956
-0.0572;1.0;0.96
-0.057;1.0;0.964
-0.0568;1.0;0.967
-0.0566;1.0;0.971
-0.0564;1.0;0.974
-0.0562;1.0;0.978
-0.056;1.0;0.981
-0.0558;1.0;0.984
-0.0556;1.0;0.987
-0.0554;1.0;0.989
-0.0552;1.0;0.992
-0.055;1.0;0.994
-0.0548;1.0;0.996
-0.0546;1.0;0.997
-0.0544;1.0;0.998
-0.0542;1.0;0.999
-0.054;1.0;1.0
-0.0538;1.0;1.0
-0.0536;1.0;1.0
-0.0534;1.0;0.999
-0.0532;1.0;0.998
-0.053;1.0;0.996
-0.0528;1.0;0.993
-0.0526;1.0;0.99
-0.0524;1.0;0.986
-0.0522;1.0;0.982
-0.052;1.0;0.977
-0.0518;1.0;0.971
-0.0516;1.0;0.964
-0.0514;1.0;0.957
-0.0512;1.0;0.949
-0.051;1.0;0.939
-0.0508;1.0;0.929
-0.0506;1.0;0.918
-0.0504;1.0;0.906
-0.0502;1.0;0.893
-0.05;1.0;0.879
-0.0498;1.0;0.865
-0.0496;1.0;0.849
-0.0494;1.0;0.832
-0.0492;1.0;0.814
-0.049;1.0;0.796
-0.0488;1.0;0.776
-0.0486;1.0;0.756
-0.0484;1.0;0.735
-0.0482;1.0;0.713
-0.048;1.0;0.691
-0.0478;1.0;0.668
-0.0476;1.0;0.644
-0.0474;1.0;0.621
-0.0472;1.0;0.596
-0.047;1.0;0.572
-0.0468;1.0;0.547
-0.0466;1.0;0.523
-0.0464;1.0;0.498
-0.0462;1.0;0.474
-0.046;1.0;0.45
-0.0458;1.0;0.426
-0.0456;1.0;0.402
-0.0454;1.0;0.379
-0.0452;1.0;0.356
-0.045;1.0;0.334
-0.0448;1.0;0.313
-0.0446;1.0;0.292
-0.0444;1.0;0.272
-0.0442;1.0;0.253
-0.044;1.0;0.234
-0.0438;1.0;0.217
-0.0436;1.0;0.2
-0.0434;1.0;0.184
-0.0432;1.0;0.169
-0.043;1.0;0.154
-0.0428;1.0;0.14
-0.0426;1.0;0.128
-0.0424;1.0;0.116
-0.0422;1.0;0.104
-0.042;1.0;0.094
-0.0418;1.0;0.084
-0.0416;1.0;0.075
-0.0414;1.0;0.067
-0.0412;1.0;0.059
-0.041;1.0;0.052
-0.0408;1.0;0.045
-0.0406;1.0;0.039
-0.0404;1.0;0.034
-0.0402;1.0;0.029
-0.04;1.0;0.024
-0.0398;1.0;0.02
-0.0396;1.0;0.017
-0.0394;1.0;0.014
-0.0392;1.0;0.011
-0.039;1.0;0.008
-0.0388;1.0;0.006
-0.0386;1.0;0.005
-0.0384;1.0;0.003
-0.0382;1.0;0.002
-0.038;1.0;0.001
-0.0378;1.0;0.001
-0.0376;1.0;0.0
-0.0374;1.0;0.0
-0.0372;1.0;0.0
-0.037;1.0;0.0
-0.0368;1.0;0.001
-0.0366;1.0;0.001
-0.0364;1.0;0.002
-0.0362;1.0;0.003
-0.036;1.0;0.003
-0.0358;1.0;0.005
-0.0356;1.0;0.006
-0.0354;1.0;0.007
-0.0352;1.0;0.008
-0.035;1.0;0.01
-0.0348;1.0;0.011
-0.0346;1.0;0.013
-0.0344;1.0;0.014
-0.0342;1.0;0.016
-0.034;1.0;0.018
-0.0338;1.0;0.019
-0.0336;1.0;0.021
-0.0334;1.0;0.023
-0.0332;1.0;0.025
-0.033;1.0;0.027
-0.0328;1.0;0.029
-0.0326;1.0;0.031
-0.0324;1.0;0.032
-0.0322;1.0;0.034
-0.032;1.0;0.036
-0.0318;1.0;0.038
-0.0316;1.0;0.04
-0.0314;1.0;0.042
-0.0312;1.0;0.044
-0.031;1.0;0.046
-0.0308;1.0;0.048
-0.0306;1.0;0.05
-0.0304;1.0;0.052
-0.0302;1.0;0.054
-0.03;1.0;0.056
-0.0298;1.0;0.058
-0.0296;1.0;0.06
-0.0294;1.0;0.062
-0.0292;1.0;0.064
-0.029;1.0;0.066
-0.0288;1.0;0.068
-0.0286;1.0;0.07
-0.0284;1.0;0.072
-0.0282;1.0;0.074
-0.028;1.0;0.075
-0.0278;1.0;0.077
-0.0276;1.0;0.079
-0.0274;1.0;0.081
-0.0272;1.0;0.083
-0.027;1.0;0.085
-0.0268;1.0;0.086
-0.0266;1.0;0.088
-0.0264;1.0;0.09
-0.0262;1.0;0.092
-0.026;1.0;0.093
-0.0258;1.0;0.095
-0.0256;1.0;0.097
-0.0254;1.0;0.098
-0.0252;1.0;0.1
-0.025;1.0;0.102
-0.0248;1.0;0.103
-0.0246;1.0;0.105
-0.0244;1.0;0.106
-0.0242;1.0;0.108
-0.024;1.0;0.109
-0.0238;1.0;0.111
-0.0236;1.0;0.112
-0.0234;1.0;0.114
-0.0232;1.0;0.115
-0.023;1.0;0.117
-0.0228;1.0;0.118
-0.0226;1.0;0.12
-0.0224;1.0;0.121
-0.0222;1.0;0.122
-0.022;1.0;0.124
-0.0218;1.0;0.125
-0.0216;1.0;0.127
-0.0214;1.0;0.128
-0.0212;1.0;0.129
-0.021;1.0;0.13
-0.0208;1.0;0.132
-0.0206;1.0;0.133
-0.0204;1.0;0.134
-0.0202;1.0;0.136
-0.02;1.0;0.137
-0.0198;1.0;0.138
-0.0196;1.0;0.139
-0.0194;1.0;0.14
-0.0192;1.0;0.142
-0.019;1.0;0.143
-0.0188;1.0;0.144
-0.0186;1.0;0.145
-0.0184;1.0;0.146
-0.0182;1.0;0.147
-0.018;1.0;0.148
-0.0178;1.0;0.149
-0.0176;1.0;0.15
-0.0174;1.0;0.151
-0.0172;1.0;0.153
-0.017;1.0;0.154
-0.0168;1.0;0.155
-0.0166;1.0;0.156
-0.0164;1.0;0.157
-0.0162;1.0;0.158
-0.016;1.0;0.159
-0.0158;1.0;0.16
-0.0156;1.0;0.161
-0.0154;1.0;0.162
-0.0152;1.0;0.162
-0.015;1.0;0.163
-0.0148;1.0;0.164
-0.0146;1.0;0.165
-0.0144;1.0;0.166
-0.0142;1.0;0.167
-0.014;1.0;0.168
-0.0138;1.0;0.169
-0.0136;1.0;0.17
-0.0134;1.0;0.171
-0.0132;1.0;0.172
-0.013;1.0;0.173
-0.0128;1.0;0.174
-0.0126;1.0;0.175
-0.0124;1.0;0.175
-0.0122;1.0;0.176
-0.012;1.0;0.177
-0.0118;1.0;0.178
-0.0116;1.0;0.179
-0.0114;1.0;0.18
-0.0112;1.0;0.181
-0.011;1.0;0.182
-0.0108;1.0;0.183
-0.0106;1.0;0.184
-0.0104;1.0;0.185
-0.0102;1.0;0.186
-0.01;1.0;0.187
-0.0098;1.0;0.188
-0.0096;1.0;0.189
-0.0094;1.0;0.191
-0.0092;1.0;0.192
-0.009;1.0;0.193
-0.0088;1.0;0.194
-0.0086;1.0;0.196
-0.0084;1.0;0.197
-0.0082;1.0;0.199
-0.008;1.0;0.2
-0.0078;1.0;0.202
-0.0076;1.0;0.204
-0.0074;1.0;0.206
-0.0072;1.0;0.208
-0.007;1.0;0.211
-0.0068;1.0;0.213
-0.0066;1.0;0.216
-0.0064;1.0;0.219
-0.0062;1.0;0.223
-0.006;1.0;0.227
-0.0058;1.0;0.231
-0.0056;1.0;0.237
-0.0054;1.0;0.243
-0.0052;1.0;0.25
-0.005;1.0;0.258
-0.0048;1.0;0.269
-0.0046;1.0;0.282
-0.0044;1.0;0.298
-0.0042;1.0;0.319
-0.004;1.0;0.348
-0.0038;1.0;0.389
-0.0036;1.0;0.449
-0.0034;1.0;0.544
-0.0032;1.0;0.702
-0.003;1.0;0.932
-0.0028;1.0;0.901
-0.0026;1.0;0.337
-0.0024;1.0;0.064
-0.0022;1.0;0.005
-0.002;1.0;0.001
-0.0018;1.0;0.01
-0.0016;1.0;0.02
-0.0014;1.0;0.03
-0.0012;1.0;0.037
-0.001;1.0;0.044
-0.0008;1.0;0.049
-0.0006;1.0;0.052
-0.0004;1.0;0.055
-0.0002;1.0;0.056
0.0;1.0;0.057
0.0002;1.0;0.056
0.0004;1.0;0.055
0.0006;1.0;0.052
0.0008;1.0;0.049
0.001;1.0;0.044
0.0012;1.0;0.037
0.0014;1.0;0.03
0.0016;1.0;0.02
0.0018;1.0;0.01
0.002;1.0;0.001
0.0022;1.0;0.005
0.0024;1.0;0.064
0.0026;1.0;0.337
0.0028;1.0;0.901
0.003;1.0;0.932
0.0032;1.0;0.702
0.0034;1.0;0.544
0.0036;1.0;0.449
0.0038;1.0;0.389
0.004;1.0;0.348
0.0042;1.0;0.319
0.0044;1.0;0.298
0.0046;1.0;0.282
0.0048;1.0;0.269
0.005;1.0;0.258
0.0052;1.0;0.25
0.0054;1.0;0.243
0.0056;1.0;0.237
0.0058;1.0;0.231
0.006;1.0;0.227
0.0062;1.0;0.223
0.0064;1.0;0.219
0.0066;1.0;0.216
0.0068;1.0;0.213
0.007;1.0;0.211
0.0072;1.0;0.208
0.0074;1.0;0.206
0.0076;1.0;0.204
0.0078;1.0;0.202
0.008;1.0;0.2
0.0082;1.0;0.199
0.0084;1.0;0.197
0.0086;1.0;0.196
0.0088;1.0;0.194
0.009;1.0;0.193
0.0092;1.0;0.192
0.0094;1.0;0.191
0.0096;1.0;0.189
0.0098;1.0;0.188
0.01;1.0;0.187
0.0102;1.0;0.186
0.0104;1.0;0.185
0.0106;1.0;0.184
0.0108;1.0;0.183
0.011;1.0;0.182
0.0112;1.0;0.181
0.0114;1.0;0.18
0.0116;1.0;0.179
0.0118;1.0;0.178
0.012;1.0;0.177
0.0122;1.0;0.176
0.0124;1.0;0.175
0.0126;1.0;0.175
0.0128;1.0;0.174
0.013;1.0;0.173
0.0132;1.0;0.172
0.0134;1.0;0.171
0.0136;1.0;0.17
0.0138;1.0;0.169
0.014;1.0;0.168
0.0142;1.0;0.167
0.0144;1.0;0.166
0.0146;1.0;0.165
0.0148;1.0;0.164
0.015;1.0;0.163
0.0152;1.0;0.162
0.0154;1.0;0.162
0.0156;1.0;0.161
0.0158;1.0;0.16
0.016;1.0;0.159
0.0162;1.0;0.158
0.0164;1.0;0.157
0.0166;1.0;0.156
0.0168;1.0;0.155
0.017;1.0;0.154
0.0172;1.0;0.153
0.0174;1.0;0.151
0.0176;1.0;0.15
0.0178;1.0;0.149
0.018;1.0;0.148
0.0182;1.0;0.147
0.0184;1.0;0.146
0.0186;1.0;0.145
0.0188;1.0;0.144
0.019;1.0;0.143
0.0192;1.0;0.142
0.0194;1.0;0.14
0.0196;1.0;0.139
0.0198;1.0;0.138
0.02;1.0;0.137
0.0202;1.0;0.136
0.0204;1.0;0.134
0.0206;1.0;0.133
0.0208;1.0;0.132
0.021;1.0;0.13
0.0212;1.0;0.129
0.0214;1.0;0.128
0.0216;1.0;0.127
0.0218;1.0;0.125
0.022;1.0;0.124
0.0222;1.0;0.122
0.0224;1.0;0.121
0.0226;1.0;0.12
0.0228;1.0;0.118
0.023;1.0;0.117
0.0232;1.0;0.115
0.0234;1.0;0.114
0.0236;1.0;0.112
0.0238;1.0;0.111
0.024;1.0;0.109
0.0242;1.0;0.108
0.0244;1.0;0.106
0.0246;1.0;0.105
0.0248;1.0;0.103
0.025;1.0;0.102
0.0252;1.0;0.1
0.0254;1.0;0.098
0.0256;1.0;0.097
0.0258;1.0;0.095
0.026;1.0;0.093
0.0262;1.0;0.092
0.0264;1.0;0.09
0.0266;1.0;0.088
0.0268;1.0;0.086
0.027;1.0;0.085
0.0272;1.0;0.083
0.0274;1.0;0.081
0.0276;1.0;0.079
0.0278;1.0;0.077
0.028;1.0;0.075
0.0282;1.0;0.074
0.0284;1.0;0.072
0.0286;1.0;0.07
0.0288;1.0;0.068
0.029;1.0;0.066
0.0292;1.0;0.064
0.0294;1.0;0.062
0.0296;1.0;0.06
0.0298;1.0;0.058
0.03;1.0;0.056
0.0302;1.0;0.054
0.0304;1.0;0.052
0.0306;1.0;0.05
0.0308;1.0;0.048
0.031;1.0;0.046
0.0312;1.0;0.044
0.0314;1.0;0.042
0.0316;1.0;0.04
0.0318;1.0;0.038
0.032;1.0;0.036
0.0322;1.0;0.034
0.0324;1.0;0.032
0.0326;1.0;0.031
0.0328;1.0;0.029
0.033;1.0;0.027
0.0332;1.0;0.025
0.0334;1.0;0.023
0.0336;1.0;0.021
0.0338;1.0;0.019
0.034;1.0;0.018
0.0342;1.0;0.016
0.0344;1.0;0.014
0.0346;1.0;0.013
0.0348;1.0;0.011
0.035;1.0;0.01
0.0352;1.0;0.008
0.0354;1.0;0.007
0.0356;1.0;0.006
0.0358;1.0;0.005
0.036;1.0;0.003
0.0362;1.0;0.003
0.0364;1.0;0.002
0.0366;1.0;0.001
0.0368;1.0;0.001
0.037;1.0;0.0
0.0372;1.0;0.0
0.0374;1.0;0.0
0.0376;1.0;0.0
0.0378;1.0;0.001
0.038;1.0;0.001
0.0382;1.0;0.002
0.0384;1.0;0.003
0.0386;1.0;0.005
0.0388;1.0;0.006
0.039;1.0;0.008
0.0392;1.0;0.011
0.0394;1.0;0.014
0.0396;1.0;0.017
0.0398;1.0;0.02
0.04;1.0;0.024
0.0402;1.0;0.029
0.0404;1.0;0.034
0.0406;1.0;0.039
0.0408;1.0;0.045
0.041;1.0;0.052
0.0412;1.0;0.059
0.0414;1.0;0.067
0.0416;1.0;0.075
0.0418;1.0;0.084
0.042;1.0;0.094
0.0422;1.0;0.104
0.0424;1.0;0.116
0.0426;1.0;0.128
0.0428;1.0;0.14
0.043;1.0;0.154
0.0432;1.0;0.169
0.0434;1.0;0.184
0.0436;1.0;0.2
0.0438;1.0;0.217
0.044;1.0;0.234
0.0442;1.0;0.253
0.0444;1.0;0.272
0.0446;1.0;0.292
0.0448;1.0;0.313
0.045;1.0;0.334
0.0452;1.0;0.356
0.0454;1.0;0.379
0.0456;1.0;0.402
0.0458;1.0;0.426
0.046;1.0;0.45
0.0462;1.0;0.474
0.0464;1.0;0.498
0.0466;1.0;0.523
0.0468;1.0;0.547
0.047;1.0;0.572
0.0472;1.0;0.596
0.0474;1.0;0.621
0.0476;1.0;0.644
0.0478;1.0;0.668
0.048;1.0;0.691
0.0482;1.0;0.713
0.0484;1.0;0.735
0.0486;1.0;0.756
0.0488;1.0;0.776
0.049;1.0;0.796
0.0492;1.0;0.814
0.0494;1.0;0.832
0.0496;1.0;0.849
0.0498;1.0;0.865
0.05;1.0;0.879
0.0502;1.0;0.893
0.0504;1.0;0.906
0.0506;1.0;0.918
0.0508;1.0;0.929
0.051;1.0;0.939
0.0512;1.0;0.949
0.0514;1.0;0.957
0.0516;1.0;0.964
0.0518;1.0;0.971
0.052;1.0;0.977
0.0522;1.0;0.982
0.0524;1.0;0.986
0.0526;1.0;0.99
0.0528;1.0;0.993
0.053;1.0;0.996
0.0532;1.0;0.998
0.0534;1.0;0.999
0.0536;1.0;1.0
0.0538;1.0;1.0
0.054;1.0;1.0
0.0542;1.0;0.999
0.0544;1.0;0.998
0.0546;1.0;0.997
0.0548;1.0;0.996
0.055;1.0;0.994
0.0552;1.0;0.992
0.0554;1.0;0.989
0.0556;1.0;0.987
0.0558;1.0;0.984
0.056;1.0;0.981
0.0562;1.0;0.978
0.0564;1.0;0.974
0.0566;1.0;0.971
0.0568;1.0;0.967
0.057;1.0;0.964
0.0572;1.0;0.96
0.0574;1.0;0.956
0.0576;1.0;0.952
0.0578;1.0;0.948
0.058;1.0;0.944
0.0582;1.0;0.94
0.0584;1.0;0.936
0.0586;1.0;0.932
0.0588;1.0;0.927
0.059;1.0;0.923
0.0592;1.0;0.919
0.0594;1.0;0.915
0.0596;1.0;0.911
0.0598;1.0;0.907
0.06;1.0;0.902
0.0602;1.0;0.898
0.0604;1.0;0.894
0.0606;1.0;0.89
0.0608;1.0;0.886
0.061;1.0;0.882
0.0612;1.0;0.878
0.0614;1.0;0.874
0.0616;1.0;0.87
0.0618;1.0;0.866
0.062;1.0;0.862
0.0622;1.0;0.858
0.0624;1.0;0.854
0.0626;1.0;0.85
0.0628;1.0;0.846
0.063;1.0;0.843
0.0632;1.0;0.839
0.0634;1.0;0.835
0.0636;1.0;0.832
0.0638;1.0;0.828
0.064;1.0;0.825
0.0642;1.0;0.821
0.0644;1.0;0.818
0.0646;1.0;0.814
0.0648;1.0;0.811
0.065;1.0;0.807
0.0652;1.0;0.804
0.0654;1.0;0.801
0.0656;1.0;0.798
0.0658;1.0;0.794
0.066;1.0;0.791
0.0662;1.0;0.788
0.0664;1.0;0.785
0.0666;1.0;0.782
0.0668;1.0;0.779
0.067;1.0;0.776
0.0672;1.0;0.773
0.0674;1.0;0.77
0.0676;1.0;0.767
0.0678;1.0;0.764
0.068;1.0;0.762
0.0682;1.0;0.759
0.0684;1.0;0.756
0.0686;1.0;0.754
0.0688;1.0;0.751
0.069;1.0;0.748
0.0692;1.0;0.746
0.0694;1.0;0.743
0.0696;1.0;0.741
0.0698;1.0;0.738
0.07;1.0;0.736
0.0702;1.0;0.733
0.0704;1.0;0.731
0.0706;1.0;0.728
0.0708;1.0;0.726
0.071;1.0;0.724
0.0712;1.0;0.721
0.0714;1.0;0.719
0.0716;1.0;0.717
0.0718;1.0;0.715
0.072;1.0;0.712
0.0722;1.0;0.71
0.0724;1.0;0.708
0.0726;1.0;0.706
0.0728;1.0;0.704
0.073;1.0;0.702
0.0732;1.0;0.7
0.0734;1.0;0.698
0.0736;1.0;0.696
0.0738;1.0;0.694
0.074;1.0;0.692
0.0742;1.0;0.69
0.0744;1.0;0.688
0.0746;1.0;0.686
0.0748;1.0;0.684
0.075;1.0;0.682
0.0752;1.0;0.681
0.0754;1.0;0.679
0.0756;1.0;0.677
0.0758;1.0;0.675
0.076;1.0;0.674
0.0762;1.0;0.672
0.0764;1.0;0.67
0.0766;1.0;0.668
0.0768;1.0;0.667
0.077;1.0;0.665
0.0772;1.0;0.663
0.0774;1.0;0.662
0.0776;1.0;0.66
0.0778;1.0;0.659
0.078;1.0;0.657
0.0782;1.0;0.655
0.0784;1.0;0.654
0.0786;1.0;0.652
0.0788;1.0;0.651
0.079;1.0;0.649
0.0792;1.0;0.648
0.0794;1.0;0.646
0.0796;1.0;0.645
0.0798;1.0;0.643
0.08;1.0;0.642
0.0802;1.0;0.641
0.0804;1.0;0.639
0.0806;1.0;0.638
0.0808;1.0;0.636
0.081;1.0;0.635
0.0812;1.0;0.634
0.0814;1.0;0.632
0.0816;1.0;0.631
0.0818;1.0;0.63
0.082;1.0;0.628
0.0822;1.0;0.627
0.0824;1.0;0.626
0.0826;1.0;0.625
0.0828;1.0;0.623
0.083;1.0;0.622
0.0832;1.0;0.621
0.0834;1.0;0.62
0.0836;1.0;0.618
0.0838;1.0;0.617
0.084;1.0;0.616
0.0842;1.0;0.615
0.0844;1.0;0.614
0.0846;1.0;0.613
0.0848;1.0;0.611
0.085;1.0;0.61
0.0852;1.0;0.609
0.0854;1.0;0.608
0.0856;1.0;0.607
0.0858;1.0;0.606
0.086;1.0;0.605
0.0862;1.0;0.604
0.0864;1.0;0.602
0.0866;1.0;0.601
0.0868;1.0;0.6
0.087;1.0;0.599
0.0872;1.0;0.598
0.0874;1.0;0.597
0.0876;1.0;0.596
0.0878;1.0;0.595
0.088;1.0;0.594
0.0882;1.0;0.593
0.0884;1.0;0.592
0.0886;1.0;0.591
0.0888;1.0;0.59
0.089;1.0;0.589
0.0892;1.0;0.588
0.0894;1.0;0.587
0.0896;1.0;0.586
0.0898;1.0;0.585
0.09;1.0;0.584
0.0902;1.0;0.583
0.0904;1.0;0.582
0.0906;1.0;0.581
0.0908;1.0;0.581
0.091;1.0;0.58
0.0912;1.0;0.579
0.0914;1.0;0.578
0.0916;1.0;0.577
0.0918;1.0;0.576
0.092;1.0;0.575
0.0922;1.0;0.574
0.0924;1.0;0.573
0.0926;1.0;0.573
0.0928;1.0;0.572
0.093;1.0;0.571
0.0932;1.0;0.57
0.0934;1.0;0.569
0.0936;1.0;0.568
0.0938;1.0;0.567
0.094;1.0;0.567
0.0942;1.0;0.566
0.0944;1.0;0.565
0.0946;1.0;0.564
0.0948;1.0;0.563
0.095;1.0;0.562
0.0952;1.0;0.562
0.0954;1.0;0.561
0.0956;1.0;0.56
0.0958;1.0;0.559
0.096;1.0;0.558
0.0962;1.0;0.558
0.0964;1.0;0.557
0.0966;1.0;0.556
0.0968;1.0;0.555
0.097;1.0;0.555
0.0972;1.0;0.554
0.0974;1.0;0.553
0.0976;1.0;0.552
0.0978;1.0;0.551
0.098;1.0;0.551
0.0982;1.0;0.55
0.0984;1.0;0.549
0.0986;1.0;0.548
0.0988;1.0;0.548
0.099;1.0;0.547
0.0992;1.0;0.546
0.0994;1.0;0.546
0.0996;1.0;0.545
0.0998;1.0;0.544
0.1;1.0;0.543
