energy;conductance
-0.1;0.039
-0.0998;0.037
-0.0996;0.035
-0.0994;0.033
-0.0992;0.031
-0.099;0.03
-0.0988;0.028
-0.0986;0.026
-0.0984;0.025
-0.0982;0.023
-0.098;0.022
-0.0978;0.02
-0.0976;0.019
-0.0974;0.017
-0.0972;0.016
-0.097;0.015
-0.0968;0.014
-0.0966;0.013
-0.0964;0.012
-0.0962;0.011
-0.096;0.01
-0.0958;0.009
-0.0956;0.008
-0.0954;0.007
-0.0952;0.006
-0.095;0.006
-0.0948;0.005
-0.0946;0.004
-0.0944;0.004
-0.0942;0.003
-0.094;0.003
-0.0938;0.002
-0.0936;0.002
-0.0934;0.002
-0.0932;0.001
-0.093;0.001
-0.0928;0.001
-0.0926;0.001
-0.0924;0.0
-0.0922;0.0
-0.092;0.0
-0.0918;0.0
-0.0916;0.0
-0.0914;0.0
-0.0912;0.0
-0.091;0.0
-0.0908;0.0
-0.0906;0.0
-0.0904;0.0
-0.0902;0.001
-0.09;0.001
-0.0898;0.001
-0.0896;0.001
-0.0894;0.002
-0.0892;0.002
-0.089;0.002
-0.0888;0.003
-0.0886;0.003
-0.0884;0.004
-0.0882;0.004
-0.088;0.005
-0.0878;0.005
-0.0876;0.006
-0.0874;0.006
-0.0872;0.007
-0.087;0.007
-0.0868;0.008
-0.0866;0.009
-0.0864;0.009
-0.0862;0.01
-0.086;0.011
-0.0858;0.011
-0.0856;0.012
-0.0854;0.013
-0.0852;0.013
-0.085;0.014
-0.0848;0.015
-0.0846;0.016
-0.0844;0.017
-0.0842;0.017
-0.084;0.018
-0.0838;0.019
-0.0836;0.02
-0.0834;0.021
-0.0832;0.022
-0.083;0.023
-0.0828;0.024
-0.0826;0.025
-0.0824;0.026
-0.0822;0.026
-0.082;0.027
-0.0818;0.028
-0.0816;0.029
-0.0814;0.03
-0.0812;0.031
-0.081;0.032
-0.0808;0.033
-0.0806;0.034
-0.0804;0.036
-0.0802;0.037
-0.08;0.038
-0.0798;0.039
-0.0796;0.04
-0.0794;0.041
-0.0792;0.042
-0.079;0.043
-0.0788;0.044
-0.0786;0.045
-0.0784;0.046
-0.0782;0.047
-0.078;0.048
-0.0778;0.05
-0.0776;0.051
-0.0774;0.052
-0.0772;0.053
-0.077;0.054
-0.0768;0.055
-0.0766;0.056
-0.0764;0.057
-0.0762;0.059
-0.076;0.06
-0.0758;0.061
-0.0756;0.062
-0.0754;0.063
-0.0752;0.064
-0.075;0.066
-0.0748;0.067
-0.0746;0.068
-0.0744;0.069
-0.0742;0.07
-0.074;0.071
-0.0738;0.072
-0.0736;0.074
-0.0734;0.075
-0.0732;0.076
-0.073;0.077
-0.0728;0.078
-0.0726;0.079
-0.0724;0.081
-0.0722;0.082
-0.072;0.083
-0.0718;0.084
-0.0716;0.085
-0.0714;0.086
-0.0712;0.088
-0.071;0.089
-0.0708;0.09
-0.0706;0.091
-0.0704;0.092
-0.0702;0.093
-0.07;0.095
-0.0698;0.096
-0.0696;0.097
-0.0694;0.098
-0.0692;0.099
-0.069;0.1
-0.0688;0.102
-0.0686;0.103
-0.0684;0.104
-0.0682;0.105
-0.068;0.106
-0.0678;0.107
-0.0676;0.108
-0.0674;0.11
-0.0672;0.111
-0.067;0.112
-0.0668;0.113
-0.0666;0.114
-0.0664;0.115
-0.0662;0.116
-0.066;0.117
-0.0658;0.119
-0.0656;0.12
-0.0654;0.121
-0.0652;0.122
-0.065;0.123
-0.0648;0.124
-0.0646;0.125
-0.0644;0.126
-0.0642;0.127
-0.064;0.128
-0.0638;0.13
-0.0636;0.131
-0.0634;0.132
-0.0632;0.133
-0.063;0.134
-0.0628;0.135
-0.0626;0.136
-0.0624;0.137
-0.0622;0.138
-0.062;0.139
-0.0618;0.14
-0.0616;0.141
-0.0614;0.142
-0.0612;0.143
-0.061;0.145
-0.0608;0.146
-0.0606;0.147
-0.0604;0.148
-0.0602;0.149
-0.06;0.15
-0.0598;0.151
-0.0596;0.152
-0.0594;0.153
-0.0592;0.154
-0.059;0.155
-0.0588;0.156
-0.0586;0.157
-0.0584;0.158
-0.0582;0.159
-0.058;0.16
-0.0578;0.161
-0.0576;0.162
-0.0574;0.163
-0.0572;0.164
-0.057;0.165
-0.0568;0.166
-0.0566;0.167
-0.0564;0.168
-0.0562;0.169
-0.056;0.17
-0.0558;0.171
-0.0556;0.172
-0.0554;0.172
-0.0552;0.173
-0.055;0.174
-0.0548;0.175
-0.0546;0.176
-0.0544;0.177
