energy;conductance
-0.035;0.905
-0.0348;0.905
-0.0346;0.905
-0.0344;0.905
-0.0342;0.905
-0.034;0.905
-0.0338;0.905
-0.0336;0.905
-0.0334;0.905
-0.0332;0.905
-0.033;0.905
-0.0328;0.905
-0.0326;0.905
-0.0324;0.905
-0.0322;0.905
-0.032;0.905
-0.0318;0.905
-0.0316;0.905
-0.0314;0.905
-0.0312;0.905
-0.031;0.905
-0.0308;0.905
-0.0306;0.905
-0.0304;0.905
-0.0302;0.905
-0.03;0.905
-0.0298;0.905
-0.0296;0.905
-0.0294;0.905
-0.0292;0.905
-0.029;0.905
-0.0288;0.905
-0.0286;0.905
-0.0284;0.905
-0.0282;0.905
-0.028;0.905
-0.0278;0.905
-0.0276;0.905
-0.0274;0.905
-0.0272;0.905
-0.027;0.905
-0.0268;0.905
-0.0266;0.905
-0.0264;0.905
-0.0262;0.905
-0.026;0.905
-0.0258;0.905
-0.0256;0.905
-0.0254;0.905
-0.0252;0.905
-0.025;0.905
-0.0248;0.905
-0.0246;0.905
-0.0244;0.905
-0.0242;0.905
-0.024;0.905
-0.0238;0.905
-0.0236;0.905
-0.0234;0.905
-0.0232;0.905
-0.023;0.905
-0.0228;0.905
-0.0226;0.905
-0.0224;0.905
-0.0222;0.905
-0.022;0.905
-0.0218;0.905
-0.0216;0.905
-0.0214;0.905
-0.0212;0.905
-0.021;0.905
-0.0208;0.905
-0.0206;0.905
-0.0204;0.905
-0.0202;0.905
-0.02;0.905
-0.0198;0.905
-0.0196;0.905
-0.0194;0.905
-0.0192;0.905
-0.019;0.905
-0.0188;0.905
-0.0186;0.905
-0.0184;0.905
-0.0182;0.905
-0.018;0.905
-0.0178;0.905
-0.0176;0.905
-0.0174;0.905
-0.0172;0.905
-0.017;0.905
-0.0168;0.905
-0.0166;0.905
-0.0164;0.905
-0.0162;0.905
-0.016;0.905
-0.0158;0.905
-0.0156;0.905
-0.0154;0.905
-0.0152;0.905
-0.015;0.905
-0.0148;0.905
-0.0146;0.905
-0.0144;0.905
-0.0142;0.905
-0.014;0.905
-0.0138;0.905
-0.0136;0.905
-0.0134;0.905
-0.0132;0.905
-0.013;0.905
-0.0128;0.905
-0.0126;0.905
-0.0124;0.905
-0.0122;0.905
-0.012;0.905
-0.0118;0.905
-0.0116;0.905
-0.0114;0.905
-0.0112;0.906
-0.011;0.906
-0.0108;0.906
-0.0106;0.906
-0.0104;0.906
-0.0102;0.906
-0.01;0.906
-0.0098;0.906
-0.0096;0.906
-0.0094;0.906
-0.0092;0.906
-0.009;0.906
-0.0088;0.906
-0.0086;0.906
-0.0084;0.906
-0.0082;0.906
-0.008;0.906
-0.0078;0.906
-0.0076;0.906
-0.0074;0.906
-0.0072;0.906
-0.007;0.906
-0.0068;0.906
-0.0066;0.906
-0.0064;0.906
-0.0062;0.906
-0.006;0.906
-0.0058;0.906
-0.0056;0.906
-0.0054;0.906
-0.0052;0.906
-0.005;0.906
-0.0048;0.906
-0.0046;0.906
-0.0044;0.906
-0.0042;0.906
-0.004;0.906
-0.0038;0.906
-0.0036;0.906
-0.0034;0.906
-0.0032;0.906
-0.003;0.906
-0.0028;0.906
-0.0026;0.906
-0.0024;0.906
-0.0022;0.906
-0.002;0.906
-0.0018;0.906
-0.0016;0.906
-0.0014;0.906
-0.0012;0.906
-0.001;0.906
-0.0008;0.906
-0.0006;0.906
-0.0004;0.906
-0.0002;0.906
0.0;0.906
0.0002;0.906
0.0004;0.906
0.0006;0.906
0.0008;0.906
0.001;0.906
0.0012;0.906
0.0014;0.906
0.0016;0.906
0.0018;0.906
0.002;0.906
0.0022;0.906
0.0024;0.906
0.0026;0.906
0.0028;0.906
0.003;0.906
0.0032;0.906
0.0034;0.906
0.0036;0.906
0.0038;0.906
0.004;0.906
0.0042;0.906
0.0044;0.906
0.0046;0.906
0.0048;0.906
0.005;0.906
0.0052;0.906
0.0054;0.906
0.0056;0.906
0.0058;0.906
0.006;0.906
0.0062;0.906
0.0064;0.906
0.0066;0.906
0.0068;0.906
0.007;0.906
0.0072;0.906
0.0074;0.906
0.0076;0.906
0.0078;0.906
0.008;0.906
0.0082;0.906
0.0084;0.906
0.0086;0.906
0.0088;0.906
0.009;0.906
0.0092;0.906
0.0094;0.906
0.0096;0.906
0.0098;0.906
0.01;0.906
0.0102;0.906
0.0104;0.906
0.0106;0.906
0.0108;0.906
0.011;0.906
0.0112;0.906
0.0114;0.905
0.0116;0.905
0.0118;0.905
0.012;0.905
0.0122;0.905
0.0124;0.905
0.0126;0.905
0.0128;0.905
0.013;0.905
0.0132;0.905
0.0134;0.905
0.0136;0.905
0.0138;0.905
0.014;0.905
0.0142;0.905
0.0144;0.905
0.0146;0.905
0.0148;0.905
0.015;0.905
0.0152;0.905
0.0154;0.905
0.0156;0.905
0.0158;0.905
0.016;0.905
0.0162;0.905
0.0164;0.905
0.0166;0.905
0.0168;0.905
0.017;0.905
0.0172;0.905
0.0174;0.905
0.0176;0.905
0.0178;0.905
0.018;0.905
0.0182;0.905
0.0184;0.905
0.0186;0.905
0.0188;0.905
0.019;0.905
0.0192;0.905
0.0194;0.905
0.0196;0.905
0.0198;0.905
0.02;0.905
0.0202;0.905
0.0204;0.905
0.0206;0.905
0.0208;0.905
0.021;0.905
0.0212;0.905
0.0214;0.905
0.0216;0.905
0.0218;0.905
0.022;0.905
0.0222;0.905
0.0224;0.905
0.0226;0.905
0.0228;0.905
0.023;0.905
0.0232;0.905
0.0234;0.905
0.0236;0.905
0.0238;0.905
0.024;0.905
0.0242;0.905
0.0244;0.905
0.0246;0.905
0.0248;0.905
0.025;0.905
0.0252;0.905
0.0254;0.905
0.0256;0.905
0.0258;0.905
0.026;0.905
0.0262;0.905
0.0264;0.905
0.0266;0.905
0.0268;0.905
0.027;0.905
0.0272;0.905
0.0274;0.905
0.0276;0.905
0.0278;0.905
0.028;0.905
0.0282;0.905
0.0284;0.905
0.0286;0.905
0.0288;0.905
0.029;0.905
0.0292;0.905
0.0294;0.905
0.0296;0.905
0.0298;0.905
0.03;0.905
0.0302;0.905
0.0304;0.905
0.0306;0.905
0.0308;0.905
0.031;0.905
0.0312;0.905
0.0314;0.905
0.0316;0.905
0.0318;0.905
0.032;0.905
0.0322;0.905
0.0324;0.905
0.0326;0.905
0.0328;0.905
0.033;0.905
0.0332;0.905
0.0334;0.905
0.0336;0.905
0.0338;0.905
0.034;0.905
0.0342;0.905
0.0344;0.905
0.0346;0.905
0.0348;0.905
0.035;0.905
0.0352;0.905
0.0354;0.905
0.0356;0.905
0.0358;0.905
0.036;0.905
0.0362;0.905
0.0364;0.905
0.0366;0.905
0.0368;0.905
0.037;0.905
0.0372;0.905
0.0374;0.905
0.0376;0.905
0.0378;0.905
0.038;0.905
0.0382;0.905
0.0384;0.905
0.0386;0.905
0.0388;0.904
0.039;0.904
0.0392;0.904
0.0394;0.904
0.0396;0.904
0.0398;0.904
0.04;0.904
0.0402;0.904
0.0404;0.904
0.0406;0.904
0.0408;0.904
0.041;0.904
0.0412;0.904
0.0414;0.904
0.0416;0.904
0.0418;0.904
0.042;0.904
0.0422;0.904
0.0424;0.904
0.0426;0.904
0.0428;0.904
0.043;0.904
0.0432;0.904
0.0434;0.904
0.0436;0.904
0.0438;0.904
0.044;0.904
0.0442;0.904
0.0444;0.904
0.0446;0.904
0.0448;0.904
0.045;0.904
0.0452;0.904
0.0454;0.904
0.0456;0.904
0.0458;0.904
0.046;0.904
0.0462;0.904
0.0464;0.904
0.0466;0.904
0.0468;0.904
0.047;0.904
0.0472;0.904
0.0474;0.904
0.0476;0.904
0.0478;0.904
0.048;0.904
0.0482;0.904
0.0484;0.904
0.0486;0.904
0.0488;0.904
0.049;0.904
0.0492;0.904
0.0494;0.904
0.0496;0.904
0.0498;0.904
0.05;0.904
0.0502;0.904
0.0504;0.904
0.0506;0.904
0.0508;0.904
0.051;0.904
0.0512;0.904
0.0514;0.904
0.0516;0.904
0.0518;0.904
0.052;0.904
0.0522;0.904
0.0524;0.904
0.0526;0.904
0.0528;0.904
0.053;0.904
0.0532;0.904
0.0534;0.903
0.0536;0.903
0.0538;0.903
0.054;0.903
0.0542;0.903
0.0544;0.903
0.0546;0.903
0.0548;0.903
0.055;0.903
0.0552;0.903
0.0554;0.903
0.0556;0.903
0.0558;0.903
0.056;0.903
0.0562;0.903
0.0564;0.903
0.0566;0.903
0.0568;0.903
0.057;0.903
0.0572;0.903
0.0574;0.903
0.0576;0.903
0.0578;0.903
0.058;0.903
0.0582;0.903
0.0584;0.903
0.0586;0.903
0.0588;0.903
0.059;0.903
0.0592;0.903
0.0594;0.903
0.0596;0.903
0.0598;0.903
0.06;0.903
0.0602;0.903
0.0604;0.903
0.0606;0.903
0.0608;0.903
0.061;0.903
0.0612;0.903
0.0614;0.903
0.0616;0.903
0.0618;0.903
0.062;0.903
0.0622;0.903
0.0624;0.903
0.0626;0.903
0.0628;0.903
0.063;0.903
0.0632;0.903
0.0634;0.903
0.0636;0.903
0.0638;0.903
0.064;0.903
0.0642;0.903
0.0644;0.903
0.0646;0.903
0.0648;0.902
0.065;0.902
0.0652;0.902
0.0654;0.902
0.0656;0.902
0.0658;0.902
0.066;0.902
0.0662;0.902
0.0664;0.902
0.0666;0.902
0.0668;0.902
0.067;0.902
0.0672;0.902
0.0674;0.902
0.0676;0.902
0.0678;0.902
0.068;0.902
0.0682;0.902
0.0684;0.902
0.0686;0.902
0.0688;0.902
0.069;0.902
0.0692;0.902
0.0694;0.902
0.0696;0.902
0.0698;0.902
0.07;0.902
0.0702;0.902
0.0704;0.902
0.0706;0.902
0.0708;0.902
0.071;0.902
0.0712;0.902
0.0714;0.902
0.0716;0.902
0.0718;0.902
0.072;0.902
0.0722;0.902
0.0724;0.902
0.0726;0.902
0.0728;0.902
0.073;0.902
0.0732;0.902
0.0734;0.902
0.0736;0.902
0.0738;0.902
0.074;0.902
0.0742;0.902
0.0744;0.901
0.0746;0.901
0.0748;0.901
0.075;0.901
0.0752;0.901
0.0754;0.901
0.0756;0.901
0.0758;0.901
0.076;0.901
0.0762;0.901
0.0764;0.901
0.0766;0.901
0.0768;0.901
0.077;0.901
0.0772;0.901
0.0774;0.901
0.0776;0.901
0.0778;0.901
0.078;0.901
0.0782;0.901
0.0784;0.901
0.0786;0.901
0.0788;0.901
0.079;0.901
0.0792;0.901
0.0794;0.901
0.0796;0.901
0.0798;0.901
0.08;0.901
0.0802;0.901
0.0804;0.901
0.0806;0.901
0.0808;0.901
0.081;0.901
0.0812;0.901
0.0814;0.901
0.0816;0.901
0.0818;0.901
0.082;0.901
0.0822;0.901
0.0824;0.901
0.0826;0.901
0.0828;0.9
0.083;0.9
0.0832;0.9
0.0834;0.9
0.0836;0.9
0.0838;0.9
0.084;0.9
0.0842;0.9
0.0844;0.9
0.0846;0.9
0.0848;0.9
0.085;0.9
0.0852;0.9
0.0854;0.9
0.0856;0.9
0.0858;0.9
0.086;0.9
0.0862;0.9
0.0864;0.9
0.0866;0.9
0.0868;0.9
0.087;0.9
0.0872;0.9
0.0874;0.9
0.0876;0.9
0.0878;0.9
0.088;0.9
0.0882;0.9
0.0884;0.9
0.0886;0.9
0.0888;0.9
0.089;0.9
0.0892;0.9
0.0894;0.9
0.0896;0.9
0.0898;0.9
0.09;0.9
0.0902;0.9
0.0904;0.899
0.0906;0.899
0.0908;0.899
0.091;0.899
0.0912;0.899
0.0914;0.899
0.0916;0.899
0.0918;0.899
0.092;0.899
0.0922;0.899
0.0924;0.899
0.0926;0.899
0.0928;0.899
0.093;0.899
0.0932;0.899
0.0934;0.899
0.0936;0.899
0.0938;0.899
0.094;0.899
0.0942;0.899
0.0944;0.899
0.0946;0.899
0.0948;0.899
0.095;0.899
0.0952;0.899
0.0954;0.899
0.0956;0.899
0.0958;0.899
0.096;0.899
0.0962;0.899
0.0964;0.899
0.0966;0.899
0.0968;0.899
0.097;0.899
0.0972;0.898
0.0974;0.898
0.0976;0.898
0.0978;0.898
0.098;0.898
0.0982;0.898
0.0984;0.898
0.0986;0.898
0.0988;0.898
0.099;0.898
0.0992;0.898
0.0994;0.898
0.0996;0.898
0.0998;0.898
0.1;0.898
