energy;conductance
-0.0794;0.357
-0.0792;0.357
-0.079;0.358
-0.0788;0.359
-0.0786;0.359
-0.0784;0.36
-0.0782;0.36
-0.078;0.361
-0.0778;0.362
-0.0776;0.362
-0.0774;0.363
-0.0772;0.364
-0.077;0.364
-0.0768;0.365
-0.0766;0.366
-0.0764;0.366
-0.0762;0.367
-0.076;0.367
-0.0758;0.368
-0.0756;0.369
-0.0754;0.369
-0.0752;0.37
-0.075;0.371
-0.0748;0.371
-0.0746;0.372
-0.0744;0.373
-0.0742;0.373
-0.074;0.374
-0.0738;0.375
-0.0736;0.375
-0.0734;0.376
-0.0732;0.377
-0.073;0.377
-0.0728;0.378
-0.0726;0.378
-0.0724;0.379
-0.0722;0.38
-0.072;0.38
-0.0718;0.381
-0.0716;0.382
-0.0714;0.382
-0.0712;0.383
-0.071;0.384
-0.0708;0.384
-0.0706;0.385
-0.0704;0.386
-0.0702;0.387
-0.07;0.387
-0.0698;0.388
-0.0696;0.389
-0.0694;0.389
-0.0692;0.39
-0.069;0.391
-0.0688;0.391
-0.0686;0.392
-0.0684;0.393
-0.0682;0.393
-0.068;0.394
-0.0678;0.395
-0.0676;0.396
-0.0674;0.396
-0.0672;0.397
-0.067;0.398
-0.0668;0.398
-0.0666;0.399
-0.0664;0.4
-0.0662;0.401
-0.066;0.401
-0.0658;0.402
-0.0656;0.403
-0.0654;0.404
-0.0652;0.404
-0.065;0.405
-0.0648;0.406
-0.0646;0.407
-0.0644;0.407
-0.0642;0.408
-0.064;0.409
-0.0638;0.41
-0.0636;0.41
-0.0634;0.411
-0.0632;0.412
-0.063;0.413
-0.0628;0.414
-0.0626;0.414
-0.0624;0.415
-0.0622;0.416
-0.062;0.417
-0.0618;0.418
-0.0616;0.418
-0.0614;0.419
-0.0612;0.42
-0.061;0.421
-0.0608;0.422
-0.0606;0.423
-0.0604;0.423
-0.0602;0.424
-0.06;0.425
-0.0598;0.426
-0.0596;0.427
-0.0594;0.428
-0.0592;0.429
-0.059;0.43
-0.0588;0.43
-0.0586;0.431
-0.0584;0.432
-0.0582;0.433
-0.058;0.434
-0.0578;0.435
-0.0576;0.436
-0.0574;0.437
-0.0572;0.438
-0.057;0.439
-0.0568;0.44
-0.0566;0.441
-0.0564;0.442
-0.0562;0.443
-0.056;0.444
-0.0558;0.445
-0.0556;0.446
-0.0554;0.447
-0.0552;0.448
-0.055;0.449
-0.0548;0.45
-0.0546;0.451
-0.0544;0.452
-0.0542;0.453
-0.054;0.454
-0.0538;0.456
-0.0536;0.457
-0.0534;0.458
-0.0532;0.459
-0.053;0.46
-0.0528;0.461
-0.0526;0.463
-0.0524;0.464
-0.0522;0.465
-0.052;0.466
-0.0518;0.467
-0.0516;0.469
-0.0514;0.47
-0.0512;0.471
-0.051;0.473
-0.0508;0.474
-0.0506;0.475
-0.0504;0.477
-0.0502;0.478
-0.05;0.479
-0.0498;0.481
-0.0496;0.482
-0.0494;0.484
-0.0492;0.485
-0.049;0.487
-0.0488;0.488
-0.0486;0.49
-0.0484;0.491
-0.0482;0.493
-0.048;0.494
-0.0478;0.496
-0.0476;0.498
-0.0474;0.499
-0.0472;0.501
-0.047;0.503
-0.0468;0.504
-0.0466;0.506
-0.0464;0.508
-0.0462;0.51
-0.046;0.511
-0.0458;0.513
-0.0456;0.515
-0.0454;0.517
-0.0452;0.519
-0.045;0.521
-0.0448;0.523
-0.0446;0.525
-0.0444;0.527
-0.0442;0.529
-0.044;0.532
-0.0438;0.534
-0.0436;0.536
-0.0434;0.538
-0.0432;0.541
-0.043;0.543
-0.0428;0.545
-0.0426;0.548
-0.0424;0.55
-0.0422;0.553
-0.042;0.555
-0.0418;0.558
-0.0416;0.561
-0.0414;0.564
-0.0412;0.566
-0.041;0.569
-0.0408;0.572
-0.0406;0.575
-0.0404;0.578
-0.0402;0.581
-0.04;0.584
-0.0398;0.588
-0.0396;0.591
-0.0394;0.594
-0.0392;0.598
-0.039;0.601
-0.0388;0.605
-0.0386;0.608
-0.0384;0.612
-0.0382;0.616
-0.038;0.62
-0.0378;0.624
-0.0376;0.628
-0.0374;0.632
-0.0372;0.637
-0.037;0.641
-0.0368;0.645
-0.0366;0.65
-0.0364;0.655
-0.0362;0.66
-0.036;0.665
-0.0358;0.67
-0.0356;0.675
-0.0354;0.68
-0.0352;0.686
-0.035;0.691
-0.0348;0.697
-0.0346;0.703
-0.0344;0.709
-0.0342;0.715
-0.034;0.722
-0.0338;0.728
-0.0336;0.735
-0.0334;0.742
-0.0332;0.749
-0.033;0.756
-0.0328;0.763
-0.0326;0.771
-0.0324;0.778
-0.0322;0.786
-0.032;0.794
-0.0318;0.803
-0.0316;0.811
-0.0314;0.82
-0.0312;0.828
-0.031;0.837
-0.0308;0.846
-0.0306;0.855
-0.0304;0.865
-0.0302;0.874
-0.03;0.883
-0.0298;0.893
-0.0296;0.902
-0.0294;0.912
-0.0292;0.921
-0.029;0.931
-0.0288;0.94
-0.0286;0.949
-0.0284;0.957
-0.0282;0.965
-0.028;0.973
-0.0278;0.98
-0.0276;0.986
-0.0274;0.991
-0.0272;0.995
-0.027;0.998
-0.0268;1.0
-0.0266;1.0
-0.0264;0.998
-0.0262;0.994
-0.026;0.988
-0.0258;0.98
-0.0256;0.969
-0.0254;0.955
-0.0252;0.939
-0.025;0.919
-0.0248;0.897
-0.0246;0.872
-0.0244;0.844
-0.0242;0.814
-0.024;0.781
-0.0238;0.746
-0.0236;0.709
-0.0234;0.671
-0.0232;0.632
-0.023;0.592
-0.0228;0.552
-0.0226;0.512
-0.0224;0.473
-0.0222;0.434
-0.022;0.397
-0.0218;0.362
-0.0216;0.328
-0.0214;0.295
-0.0212;0.265
-0.021;0.237
-0.0208;0.211
-0.0206;0.187
-0.0204;0.165
-0.0202;0.145
-0.02;0.126
-0.0198;0.11
-0.0196;0.095
-0.0194;0.081
-0.0192;0.069
-0.019;0.059
-0.0188;0.049
-0.0186;0.041
-0.0184;0.034
-0.0182;0.027
-0.018;0.022
-0.0178;0.017
-0.0176;0.013
-0.0174;0.01
-0.0172;0.007
-0.017;0.005
-0.0168;0.003
-0.0166;0.002
-0.0164;0.001
-0.0162;0.0
-0.016;0.0
-0.0158;0.0
-0.0156;0.0
-0.0154;0.001
-0.0152;0.001
-0.015;0.002
-0.0148;0.003
-0.0146;0.004
-0.0144;0.005
-0.0142;0.006
-0.014;0.008
-0.0138;0.009
-0.0136;0.01
-0.0134;0.012
-0.0132;0.013
-0.013;0.015
-0.0128;0.016
-0.0126;0.018
-0.0124;0.02
-0.0122;0.021
-0.012;0.023
-0.0118;0.025
-0.0116;0.026
-0.0114;0.028
-0.0112;0.029
-0.011;0.031
-0.0108;0.033
-0.0106;0.034
-0.0104;0.036
-0.0102;0.037
-0.01;0.039
-0.0098;0.04
-0.0096;0.042
-0.0094;0.043
-0.0092;0.045
-0.009;0.046
-0.0088;0.047
-0.0086;0.049
-0.0084;0.05
-0.0082;0.051
-0.008;0.053
-0.0078;0.054
-0.0076;0.055
-0.0074;0.056
-0.0072;0.058
-0.007;0.059
-0.0068;0.06
-0.0066;0.061
-0.0064;0.062
-0.0062;0.063
-0.006;0.064
-0.0058;0.065
-0.0056;0.066
-0.0054;0.067
-0.0052;0.068
-0.005;0.07
-0.0048;0.071
-0.0046;0.072
-0.0044;0.073
-0.0042;0.074
-0.004;0.075
-0.0038;0.076
-0.0036;0.078
-0.0034;0.079
-0.0032;0.081
-0.003;0.083
-0.0028;0.085
-0.0026;0.088
-0.0024;0.092
-0.0022;0.097
-0.002;0.105
-0.0018;0.117
-0.0016;0.139
-0.0014;0.189
-0.0012;0.366
-0.001;0.844
-0.0008;0.016
-0.0006;0.001
-0.0004;0.008
-0.0002;0.013
0.0;0.001
0.0002;0.013
0.0004;0.008
0.0006;0.001
0.0008;0.016
0.001;0.844
0.0012;0.366
0.0014;0.189
0.0016;0.139
0.0018;0.117
0.002;0.105
0.0022;0.097
0.0024;0.092
0.0026;0.088
0.0028;0.085
0.003;0.083
0.0032;0.081
0.0034;0.079
0.0036;0.078
0.0038;0.076
0.004;0.075
0.0042;0.074
0.0044;0.073
0.0046;0.072
0.0048;0.071
0.005;0.07
0.0052;0.068
0.0054;0.067
0.0056;0.066
0.0058;0.065
0.006;0.064
0.0062;0.063
0.0064;0.062
0.0066;0.061
0.0068;0.06
0.007;0.059
0.0072;0.058
0.0074;0.056
0.0076;0.055
0.0078;0.054
0.008;0.053
0.0082;0.051
0.0084;0.05
0.0086;0.049
0.0088;0.047
0.009;0.046
0.0092;0.045
0.0094;0.043
0.0096;0.042
0.0098;0.04
0.01;0.039
0.0102;0.037
0.0104;0.036
0.0106;0.034
0.0108;0.033
0.011;0.031
0.0112;0.029
0.0114;0.028
0.0116;0.026
0.0118;0.025
0.012;0.023
0.0122;0.021
0.0124;0.02
0.0126;0.018
0.0128;0.016
0.013;0.015
0.0132;0.013
0.0134;0.012
0.0136;0.01
0.0138;0.009
0.014;0.008
0.0142;0.006
0.0144;0.005
0.0146;0.004
0.0148;0.003
0.015;0.002
0.0152;0.001
0.0154;0.001
0.0156;0.0
0.0158;0.0
0.016;0.0
0.0162;0.0
0.0164;0.001
0.0166;0.002
0.0168;0.003
0.017;0.005
0.0172;0.007
0.0174;0.01
0.0176;0.013
0.0178;0.017
0.018;0.022
0.0182;0.027
0.0184;0.034
0.0186;0.041
0.0188;0.049
0.019;0.059
0.0192;0.069
0.0194;0.081
0.0196;0.095
0.0198;0.11
0.02;0.126
0.0202;0.145
0.0204;0.165
0.0206;0.187
0.0208;0.211
0.021;0.237
0.0212;0.265
0.0214;0.295
0.0216;0.328
0.0218;0.362
0.022;0.397
0.0222;0.434
0.0224;0.473
0.0226;0.512
0.0228;0.552
0.023;0.592
0.0232;0.632
0.0234;0.671
0.0236;0.709
0.0238;0.746
0.024;0.781
0.0242;0.814
0.0244;0.844
0.0246;0.872
0.0248;0.897
0.025;0.919
0.0252;0.939
0.0254;0.955
0.0256;0.969
0.0258;0.98
0.026;0.988
0.0262;0.994
0.0264;0.998
0.0266;1.0
0.0268;1.0
0.027;0.998
0.0272;0.995
0.0274;0.991
0.0276;0.986
0.0278;0.98
0.028;0.973
0.0282;0.965
0.0284;0.957
0.0286;0.949
0.0288;0.94
0.029;0.931
0.0292;0.921
0.0294;0.912
0.0296;0.902
0.0298;0.893
0.03;0.883
0.0302;0.874
0.0304;0.865
0.0306;0.855
0.0308;0.846
0.031;0.837
0.0312;0.828
0.0314;0.82
0.0316;0.811
0.0318;0.803
0.032;0.794
0.0322;0.786
0.0324;0.778
0.0326;0.771
0.0328;0.763
0.033;0.756
0.0332;0.749
0.0334;0.742
0.0336;0.735
0.0338;0.728
0.034;0.722
0.0342;0.715
0.0344;0.709
0.0346;0.703
0.0348;0.697
0.035;0.691
0.0352;0.686
0.0354;0.68
0.0356;0.675
0.0358;0.67
0.036;0.665
0.0362;0.66
0.0364;0.655
0.0366;0.65
0.0368;0.645
0.037;0.641
0.0372;0.637
0.0374;0.632
0.0376;0.628
0.0378;0.624
0.038;0.62
0.0382;0.616
0.0384;0.612
0.0386;0.608
0.0388;0.605
0.039;0.601
0.0392;0.598
0.0394;0.594
0.0396;0.591
0.0398;0.588
0.04;0.584
0.0402;0.581
0.0404;0.578
0.0406;0.575
0.0408;0.572
0.041;0.569
0.0412;0.566
0.0414;0.564
0.0416;0.561
0.0418;0.558
0.042;0.555
0.0422;0.553
0.0424;0.55
0.0426;0.548
0.0428;0.545
0.043;0.543
0.0432;0.541
0.0434;0.538
0.0436;0.536
0.0438;0.534
0.044;0.532
0.0442;0.529
0.0444;0.527
0.0446;0.525
0.0448;0.523
0.045;0.521
0.0452;0.519
0.0454;0.517
0.0456;0.515
0.0458;0.513
0.046;0.511
0.0462;0.51
0.0464;0.508
0.0466;0.506
0.0468;0.504
0.047;0.503
0.0472;0.501
0.0474;0.499
0.0476;0.498
0.0478;0.496
0.048;0.494
0.0482;0.493
0.0484;0.491
0.0486;0.49
0.0488;0.488
0.049;0.487
0.0492;0.485
0.0494;0.484
0.0496;0.482
0.0498;0.481
0.05;0.479
0.0502;0.478
0.0504;0.477
0.0506;0.475
0.0508;0.474
0.051;0.473
0.0512;0.471
0.0514;0.47
0.0516;0.469
0.0518;0.467
0.052;0.466
0.0522;0.465
0.0524;0.464
0.0526;0.463
0.0528;0.461
0.053;0.46
0.0532;0.459
0.0534;0.458
0.0536;0.457
0.0538;0.456
0.054;0.454
0.0542;0.453
0.0544;0.452
0.0546;0.451
0.0548;0.45
0.055;0.449
0.0552;0.448
0.0554;0.447
0.0556;0.446
0.0558;0.445
0.056;0.444
0.0562;0.443
0.0564;0.442
0.0566;0.441
0.0568;0.44
0.057;0.439
0.0572;0.438
0.0574;0.437
0.0576;0.436
0.0578;0.435
0.058;0.434
0.0582;0.433
0.0584;0.432
0.0586;0.431
0.0588;0.43
0.059;0.43
0.0592;0.429
0.0594;0.428
0.0596;0.427
0.0598;0.426
0.06;0.425
0.0602;0.424
0.0604;0.423
0.0606;0.423
0.0608;0.422
0.061;0.421
0.0612;0.42
0.0614;0.419
0.0616;0.418
0.0618;0.418
0.062;0.417
0.0622;0.416
0.0624;0.415
0.0626;0.414
0.0628;0.414
0.063;0.413
0.0632;0.412
0.0634;0.411
0.0636;0.41
0.0638;0.41
0.064;0.409
0.0642;0.408
0.0644;0.407
0.0646;0.407
0.0648;0.406
0.065;0.405
0.0652;0.404
0.0654;0.404
0.0656;0.403
0.0658;0.402
0.066;0.401
0.0662;0.401
0.0664;0.4
0.0666;0.399
0.0668;0.398
0.067;0.398
0.0672;0.397
0.0674;0.396
0.0676;0.396
0.0678;0.395
0.068;0.394
0.0682;0.393
0.0684;0.393
0.0686;0.392
0.0688;0.391
0.069;0.391
0.0692;0.39
0.0694;0.389
0.0696;0.389
0.0698;0.388
0.07;0.387
0.0702;0.387
0.0704;0.386
0.0706;0.385
0.0708;0.384
0.071;0.384
0.0712;0.383
0.0714;0.382
0.0716;0.382
0.0718;0.381
0.072;0.38
0.0722;0.38
0.0724;0.379
0.0726;0.378
0.0728;0.378
0.073;0.377
0.0732;0.377
0.0734;0.376
0.0736;0.375
0.0738;0.375
0.074;0.374
0.0742;0.373
0.0744;0.373
0.0746;0.372
0.0748;0.371
0.075;0.371
0.0752;0.37
0.0754;0.369
0.0756;0.369
0.0758;0.368
0.076;0.367
0.0762;0.367
0.0764;0.366
0.0766;0.366
0.0768;0.365
0.077;0.364
0.0772;0.364
0.0774;0.363
0.0776;0.362
0.0778;0.362
0.078;0.361
0.0782;0.36
0.0784;0.36
0.0786;0.359
0.0788;0.359
0.079;0.358
0.0792;0.357
0.0794;0.357
0.0796;0.356
0.0798;0.355
0.08;0.355
0.0802;0.354
0.0804;0.354
0.0806;0.353
0.0808;0.352
0.081;0.352
0.0812;0.351
0.0814;0.35
0.0816;0.35
0.0818;0.349
0.082;0.349
0.0822;0.348
0.0824;0.347
0.0826;0.347
0.0828;0.346
0.083;0.345
0.0832;0.345
0.0834;0.344
0.0836;0.344
0.0838;0.343
0.084;0.342
0.0842;0.342
0.0844;0.341
0.0846;0.341
0.0848;0.34
0.085;0.339
0.0852;0.339
0.0854;0.338
0.0856;0.337
0.0858;0.337
0.086;0.336
0.0862;0.336
0.0864;0.335
0.0866;0.334
0.0868;0.334
0.087;0.333
0.0872;0.332
0.0874;0.332
0.0876;0.331
0.0878;0.331
0.088;0.33
0.0882;0.329
0.0884;0.329
0.0886;0.328
0.0888;0.327
0.089;0.327
0.0892;0.326
0.0894;0.326
0.0896;0.325
0.0898;0.324
0.09;0.324
0.0902;0.323
0.0904;0.322
0.0906;0.322
0.0908;0.321
0.091;0.321
0.0912;0.32
0.0914;0.319
0.0916;0.319
0.0918;0.318
0.092;0.317
0.0922;0.317
0.0924;0.316
0.0926;0.315
0.0928;0.315
0.093;0.314
0.0932;0.314
0.0934;0.313
0.0936;0.312
0.0938;0.312
0.094;0.311
0.0942;0.31
0.0944;0.31
0.0946;0.309
0.0948;0.308
0.095;0.308
0.0952;0.307
0.0954;0.306
0.0956;0.306
0.0958;0.305
0.096;0.305
0.0962;0.304
0.0964;0.303
0.0966;0.303
0.0968;0.302
0.097;0.301
0.0972;0.301
0.0974;0.3
0.0976;0.299
0.0978;0.299
0.098;0.298
0.0982;0.297
0.0984;0.297
0.0986;0.296
0.0988;0.295
0.099;0.295
0.0992;0.294
0.0994;0.293
0.0996;0.293
0.0998;0.292
0.1;0.291
